"","V1","V2","V3"
"1",-552.620422318571,0.01,0.001
"2",-552.620422318571,0.135,0.001
"3",-552.620422318571,0.26,0.001
"4",-552.620422318571,0.385,0.001
"5",-552.620422318571,0.51,0.001
"6",-552.620422318571,0.635,0.001
"7",-552.620422318571,0.76,0.001
"8",-552.620422318571,0.885,0.001
"9",-552.620422318571,1.01,0.001
"10",-552.620422318571,1.135,0.001
"11",-552.620422318571,1.26,0.001
"12",-552.620422318571,1.385,0.001
"13",-552.620422318571,1.51,0.001
"14",-552.620422318571,1.635,0.001
"15",-552.620422318571,1.76,0.001
"16",-552.620422318571,1.885,0.001
"17",-552.620422318571,2.01,0.001
"18",-552.620422318571,2.135,0.001
"19",-552.620422318571,2.26,0.001
"20",-552.620422318571,2.385,0.001
"21",-552.620422318571,2.51,0.001
"22",-552.620422318571,2.635,0.001
"23",-552.620422318571,2.76,0.001
"24",-552.620422318571,2.885,0.001
"25",-552.620422318571,3.01,0.001
"26",-552.620422318571,3.135,0.001
"27",-552.620422318571,3.26,0.001
"28",-552.620422318571,3.385,0.001
"29",-552.620422318571,3.51,0.001
"30",-552.620422318571,3.635,0.001
"31",-552.620422318571,3.76,0.001
"32",-552.620422318571,3.885,0.001
"33",-552.620422318571,4.01,0.001
"34",-552.620422318571,4.135,0.001
"35",-552.620422318571,4.26,0.001
"36",-552.620422318571,4.385,0.001
"37",-552.620422318571,4.51,0.001
"38",-552.620422318571,4.635,0.001
"39",-552.620422318571,4.76,0.001
"40",-552.620422318571,4.885,0.001
"41",-552.620422318571,5.01,0.001
"42",-552.620422318571,5.135,0.001
"43",-552.620422318571,5.26,0.001
"44",-552.620422318571,5.385,0.001
"45",-552.620422318571,5.51,0.001
"46",-552.620422318571,5.635,0.001
"47",-552.620422318571,5.76,0.001
"48",-552.620422318571,5.885,0.001
"49",-552.620422318571,6.01,0.001
"50",-552.620422318571,6.135,0.001
"51",-552.620422318571,6.26,0.001
"52",-552.620422318571,6.385,0.001
"53",-552.620422318571,6.51,0.001
"54",-552.620422318571,6.635,0.001
"55",-552.620422318571,6.76,0.001
"56",-552.620422318571,6.885,0.001
"57",-552.620422318571,7.01,0.001
"58",-552.620422318571,7.135,0.001
"59",-552.620422318571,7.26,0.001
"60",-552.620422318571,7.385,0.001
"61",-552.620422318571,7.51,0.001
"62",-552.620422318571,7.635,0.001
"63",-552.620422318571,7.76,0.001
"64",-552.620422318571,7.885,0.001
"65",-552.620422318571,8.01,0.001
"66",-552.620422318571,8.135,0.001
"67",-552.620422318571,8.26,0.001
"68",-552.620422318571,8.385,0.001
"69",-552.620422318571,8.51,0.001
"70",-552.620422318571,8.635,0.001
"71",-552.620422318571,8.76,0.001
"72",-552.620422318571,8.885,0.001
"73",-552.620422318571,9.01,0.001
"74",-552.620422318571,9.135,0.001
"75",-552.620422318571,9.26,0.001
"76",-552.620422318571,9.385,0.001
"77",-552.620422318571,9.51,0.001
"78",-552.620422318571,9.635,0.001
"79",-552.620422318571,9.76,0.001
"80",-552.620422318571,9.885,0.001
"81",-552.620422318571,0.01,0.0088125
"82",-552.620422318571,0.135,0.0088125
"83",-552.620422318571,0.26,0.0088125
"84",-552.620422318571,0.385,0.0088125
"85",-552.620422318571,0.51,0.0088125
"86",-552.620422318571,0.635,0.0088125
"87",-552.620422318571,0.76,0.0088125
"88",-552.620422318571,0.885,0.0088125
"89",-552.620422318571,1.01,0.0088125
"90",-552.620422318571,1.135,0.0088125
"91",-552.620422318571,1.26,0.0088125
"92",-552.620422318571,1.385,0.0088125
"93",-552.620422318571,1.51,0.0088125
"94",-552.620422318571,1.635,0.0088125
"95",-552.620422318571,1.76,0.0088125
"96",-552.620422318571,1.885,0.0088125
"97",-552.620422318571,2.01,0.0088125
"98",-552.620422318571,2.135,0.0088125
"99",-552.620422318571,2.26,0.0088125
"100",-552.620422318571,2.385,0.0088125
"101",-552.620422318571,2.51,0.0088125
"102",-552.620422318571,2.635,0.0088125
"103",-552.620422318571,2.76,0.0088125
"104",-552.620422318571,2.885,0.0088125
"105",-552.620422318571,3.01,0.0088125
"106",-552.620422318571,3.135,0.0088125
"107",-552.620422318571,3.26,0.0088125
"108",-552.620422318571,3.385,0.0088125
"109",-552.620422318571,3.51,0.0088125
"110",-552.620422318571,3.635,0.0088125
"111",-552.620422318571,3.76,0.0088125
"112",-552.620422318571,3.885,0.0088125
"113",-552.620422318571,4.01,0.0088125
"114",-552.620422318571,4.135,0.0088125
"115",-552.620422318571,4.26,0.0088125
"116",-552.620422318571,4.385,0.0088125
"117",-552.620422318571,4.51,0.0088125
"118",-552.620422318571,4.635,0.0088125
"119",-552.620422318571,4.76,0.0088125
"120",-552.620422318571,4.885,0.0088125
"121",-552.620422318571,5.01,0.0088125
"122",-552.620422318571,5.135,0.0088125
"123",-552.620422318571,5.26,0.0088125
"124",-552.620422318571,5.385,0.0088125
"125",-552.620422318571,5.51,0.0088125
"126",-552.620422318571,5.635,0.0088125
"127",-552.620422318571,5.76,0.0088125
"128",-552.620422318571,5.885,0.0088125
"129",-552.620422318571,6.01,0.0088125
"130",-552.620422318571,6.135,0.0088125
"131",-552.620422318571,6.26,0.0088125
"132",-552.620422318571,6.385,0.0088125
"133",-552.620422318571,6.51,0.0088125
"134",-552.620422318571,6.635,0.0088125
"135",-552.620422318571,6.76,0.0088125
"136",-552.620422318571,6.885,0.0088125
"137",-552.620422318571,7.01,0.0088125
"138",-552.620422318571,7.135,0.0088125
"139",-552.620422318571,7.26,0.0088125
"140",-552.620422318571,7.385,0.0088125
"141",-552.620422318571,7.51,0.0088125
"142",-552.620422318571,7.635,0.0088125
"143",-552.620422318571,7.76,0.0088125
"144",-552.620422318571,7.885,0.0088125
"145",-552.620422318571,8.01,0.0088125
"146",-552.620422318571,8.135,0.0088125
"147",-552.620422318571,8.26,0.0088125
"148",-552.620422318571,8.385,0.0088125
"149",-552.620422318571,8.51,0.0088125
"150",-552.620422318571,8.635,0.0088125
"151",-552.620422318571,8.76,0.0088125
"152",-552.620422318571,8.885,0.0088125
"153",-552.620422318571,9.01,0.0088125
"154",-552.620422318571,9.135,0.0088125
"155",-552.620422318571,9.26,0.0088125
"156",-552.620422318571,9.385,0.0088125
"157",-552.620422318571,9.51,0.0088125
"158",-552.620422318571,9.635,0.0088125
"159",-552.620422318571,9.76,0.0088125
"160",-552.620422318571,9.885,0.0088125
"161",-552.620422318571,0.01,0.016625
"162",-552.620422318571,0.135,0.016625
"163",-552.620422318571,0.26,0.016625
"164",-552.620422318571,0.385,0.016625
"165",-552.620422318571,0.51,0.016625
"166",-552.620422318571,0.635,0.016625
"167",-552.620422318571,0.76,0.016625
"168",-552.620422318571,0.885,0.016625
"169",-552.620422318571,1.01,0.016625
"170",-552.620422318571,1.135,0.016625
"171",-552.620422318571,1.26,0.016625
"172",-552.620422318571,1.385,0.016625
"173",-552.620422318571,1.51,0.016625
"174",-552.620422318571,1.635,0.016625
"175",-552.620422318571,1.76,0.016625
"176",-552.620422318571,1.885,0.016625
"177",-552.620422318571,2.01,0.016625
"178",-552.620422318571,2.135,0.016625
"179",-552.620422318571,2.26,0.016625
"180",-552.620422318571,2.385,0.016625
"181",-552.620422318571,2.51,0.016625
"182",-552.620422318571,2.635,0.016625
"183",-552.620422318571,2.76,0.016625
"184",-552.620422318571,2.885,0.016625
"185",-552.620422318571,3.01,0.016625
"186",-552.620422318571,3.135,0.016625
"187",-552.620422318571,3.26,0.016625
"188",-552.620422318571,3.385,0.016625
"189",-552.620422318571,3.51,0.016625
"190",-552.620422318571,3.635,0.016625
"191",-552.620422318571,3.76,0.016625
"192",-552.620422318571,3.885,0.016625
"193",-552.620422318571,4.01,0.016625
"194",-552.620422318571,4.135,0.016625
"195",-552.620422318571,4.26,0.016625
"196",-552.620422318571,4.385,0.016625
"197",-552.620422318571,4.51,0.016625
"198",-552.620422318571,4.635,0.016625
"199",-552.620422318571,4.76,0.016625
"200",-552.620422318571,4.885,0.016625
"201",-552.620422318571,5.01,0.016625
"202",-552.620422318571,5.135,0.016625
"203",-552.620422318571,5.26,0.016625
"204",-552.620422318571,5.385,0.016625
"205",-552.620422318571,5.51,0.016625
"206",-552.620422318571,5.635,0.016625
"207",-552.620422318571,5.76,0.016625
"208",-552.620422318571,5.885,0.016625
"209",-552.620422318571,6.01,0.016625
"210",-552.620422318571,6.135,0.016625
"211",-552.620422318571,6.26,0.016625
"212",-552.620422318571,6.385,0.016625
"213",-552.620422318571,6.51,0.016625
"214",-552.620422318571,6.635,0.016625
"215",-552.620422318571,6.76,0.016625
"216",-552.620422318571,6.885,0.016625
"217",-552.620422318571,7.01,0.016625
"218",-552.620422318571,7.135,0.016625
"219",-552.620422318571,7.26,0.016625
"220",-552.620422318571,7.385,0.016625
"221",-552.620422318571,7.51,0.016625
"222",-552.620422318571,7.635,0.016625
"223",-552.620422318571,7.76,0.016625
"224",-552.620422318571,7.885,0.016625
"225",-552.620422318571,8.01,0.016625
"226",-552.620422318571,8.135,0.016625
"227",-552.620422318571,8.26,0.016625
"228",-552.620422318571,8.385,0.016625
"229",-552.620422318571,8.51,0.016625
"230",-552.620422318571,8.635,0.016625
"231",-552.620422318571,8.76,0.016625
"232",-552.620422318571,8.885,0.016625
"233",-552.620422318571,9.01,0.016625
"234",-552.620422318571,9.135,0.016625
"235",-552.620422318571,9.26,0.016625
"236",-552.620422318571,9.385,0.016625
"237",-552.620422318571,9.51,0.016625
"238",-552.620422318571,9.635,0.016625
"239",-552.620422318571,9.76,0.016625
"240",-552.620422318571,9.885,0.016625
"241",-552.620422318571,0.01,0.0244375
"242",-552.620422318571,0.135,0.0244375
"243",-552.620422318571,0.26,0.0244375
"244",-552.620422318571,0.385,0.0244375
"245",-552.620422318571,0.51,0.0244375
"246",-552.620422318571,0.635,0.0244375
"247",-552.620422318571,0.76,0.0244375
"248",-552.620422318571,0.885,0.0244375
"249",-552.620422318571,1.01,0.0244375
"250",-552.620422318571,1.135,0.0244375
"251",-552.620422318571,1.26,0.0244375
"252",-552.620422318571,1.385,0.0244375
"253",-552.620422318571,1.51,0.0244375
"254",-552.620422318571,1.635,0.0244375
"255",-552.620422318571,1.76,0.0244375
"256",-552.620422318571,1.885,0.0244375
"257",-552.620422318571,2.01,0.0244375
"258",-552.620422318571,2.135,0.0244375
"259",-552.620422318571,2.26,0.0244375
"260",-552.620422318571,2.385,0.0244375
"261",-552.620422318571,2.51,0.0244375
"262",-552.620422318571,2.635,0.0244375
"263",-552.620422318571,2.76,0.0244375
"264",-552.620422318571,2.885,0.0244375
"265",-552.620422318571,3.01,0.0244375
"266",-552.620422318571,3.135,0.0244375
"267",-552.620422318571,3.26,0.0244375
"268",-552.620422318571,3.385,0.0244375
"269",-552.620422318571,3.51,0.0244375
"270",-552.620422318571,3.635,0.0244375
"271",-552.620422318571,3.76,0.0244375
"272",-552.620422318571,3.885,0.0244375
"273",-552.620422318571,4.01,0.0244375
"274",-552.620422318571,4.135,0.0244375
"275",-552.620422318571,4.26,0.0244375
"276",-552.620422318571,4.385,0.0244375
"277",-552.620422318571,4.51,0.0244375
"278",-552.620422318571,4.635,0.0244375
"279",-552.620422318571,4.76,0.0244375
"280",-552.620422318571,4.885,0.0244375
"281",-552.620422318571,5.01,0.0244375
"282",-552.620422318571,5.135,0.0244375
"283",-552.620422318571,5.26,0.0244375
"284",-552.620422318571,5.385,0.0244375
"285",-552.620422318571,5.51,0.0244375
"286",-552.620422318571,5.635,0.0244375
"287",-552.620422318571,5.76,0.0244375
"288",-552.620422318571,5.885,0.0244375
"289",-552.620422318571,6.01,0.0244375
"290",-552.620422318571,6.135,0.0244375
"291",-552.620422318571,6.26,0.0244375
"292",-552.620422318571,6.385,0.0244375
"293",-552.620422318571,6.51,0.0244375
"294",-552.620422318571,6.635,0.0244375
"295",-552.620422318571,6.76,0.0244375
"296",-552.620422318571,6.885,0.0244375
"297",-552.620422318571,7.01,0.0244375
"298",-552.620422318571,7.135,0.0244375
"299",-552.620422318571,7.26,0.0244375
"300",-552.620422318571,7.385,0.0244375
"301",-552.620422318571,7.51,0.0244375
"302",-552.620422318571,7.635,0.0244375
"303",-552.620422318571,7.76,0.0244375
"304",-552.620422318571,7.885,0.0244375
"305",-552.620422318571,8.01,0.0244375
"306",-552.620422318571,8.135,0.0244375
"307",-552.620422318571,8.26,0.0244375
"308",-552.620422318571,8.385,0.0244375
"309",-552.620422318571,8.51,0.0244375
"310",-552.620422318571,8.635,0.0244375
"311",-552.620422318571,8.76,0.0244375
"312",-552.620422318571,8.885,0.0244375
"313",-552.620422318571,9.01,0.0244375
"314",-552.620422318571,9.135,0.0244375
"315",-552.620422318571,9.26,0.0244375
"316",-552.620422318571,9.385,0.0244375
"317",-552.620422318571,9.51,0.0244375
"318",-552.620422318571,9.635,0.0244375
"319",-552.620422318571,9.76,0.0244375
"320",-552.620422318571,9.885,0.0244375
"321",-552.620422318571,0.01,0.03225
"322",-552.620422318571,0.135,0.03225
"323",-552.620422318571,0.26,0.03225
"324",-552.620422318571,0.385,0.03225
"325",-552.620422318571,0.51,0.03225
"326",-552.620422318571,0.635,0.03225
"327",-552.620422318571,0.76,0.03225
"328",-552.620422318571,0.885,0.03225
"329",-552.620422318571,1.01,0.03225
"330",-552.620422318571,1.135,0.03225
"331",-552.620422318571,1.26,0.03225
"332",-552.620422318571,1.385,0.03225
"333",-552.620422318571,1.51,0.03225
"334",-552.620422318571,1.635,0.03225
"335",-552.620422318571,1.76,0.03225
"336",-552.620422318571,1.885,0.03225
"337",-552.620422318571,2.01,0.03225
"338",-552.620422318571,2.135,0.03225
"339",-552.620422318571,2.26,0.03225
"340",-552.620422318571,2.385,0.03225
"341",-552.620422318571,2.51,0.03225
"342",-552.620422318571,2.635,0.03225
"343",-552.620422318571,2.76,0.03225
"344",-552.620422318571,2.885,0.03225
"345",-552.620422318571,3.01,0.03225
"346",-552.620422318571,3.135,0.03225
"347",-552.620422318571,3.26,0.03225
"348",-552.620422318571,3.385,0.03225
"349",-552.620422318571,3.51,0.03225
"350",-552.620422318571,3.635,0.03225
"351",-552.620422318571,3.76,0.03225
"352",-552.620422318571,3.885,0.03225
"353",-552.620422318571,4.01,0.03225
"354",-552.620422318571,4.135,0.03225
"355",-552.620422318571,4.26,0.03225
"356",-552.620422318571,4.385,0.03225
"357",-552.620422318571,4.51,0.03225
"358",-552.620422318571,4.635,0.03225
"359",-552.620422318571,4.76,0.03225
"360",-552.620422318571,4.885,0.03225
"361",-552.620422318571,5.01,0.03225
"362",-552.620422318571,5.135,0.03225
"363",-552.620422318571,5.26,0.03225
"364",-552.620422318571,5.385,0.03225
"365",-552.620422318571,5.51,0.03225
"366",-552.620422318571,5.635,0.03225
"367",-552.620422318571,5.76,0.03225
"368",-552.620422318571,5.885,0.03225
"369",-552.620422318571,6.01,0.03225
"370",-552.620422318571,6.135,0.03225
"371",-552.620422318571,6.26,0.03225
"372",-552.620422318571,6.385,0.03225
"373",-552.620422318571,6.51,0.03225
"374",-552.620422318571,6.635,0.03225
"375",-552.620422318571,6.76,0.03225
"376",-552.620422318571,6.885,0.03225
"377",-552.620422318571,7.01,0.03225
"378",-552.620422318571,7.135,0.03225
"379",-552.620422318571,7.26,0.03225
"380",-552.620422318571,7.385,0.03225
"381",-552.620422318571,7.51,0.03225
"382",-552.620422318571,7.635,0.03225
