"","V1","V2","V3"
"1",-506.56872045869,0.001,0.001
"2",-506.56872045869,1.251,0.001
"3",-506.56872045869,2.501,0.001
"4",-506.56872045869,3.751,0.001
"5",-506.56872045869,5.001,0.001
"6",-506.56872045869,6.251,0.001
"7",-506.56872045869,7.501,0.001
"8",-506.56872045869,8.751,0.001
"9",-506.56872045869,10.001,0.001
"10",-506.56872045869,11.251,0.001
"11",-506.56872045869,12.501,0.001
"12",-506.56872045869,13.751,0.001
"13",-506.56872045869,15.001,0.001
"14",-506.56872045869,16.251,0.001
"15",-506.56872045869,17.501,0.001
"16",-506.56872045869,18.751,0.001
"17",-506.56872045869,0.001,0.03225
"18",-506.56872045869,1.251,0.03225
"19",-506.56872045869,2.501,0.03225
"20",-506.56872045869,3.751,0.03225
"21",-506.56872045869,5.001,0.03225
"22",-506.56872045869,6.251,0.03225
"23",-506.56872045869,7.501,0.03225
"24",-506.56872045869,8.751,0.03225
"25",-309.268416020569,10.001,0.03225
"26",-273.107819498304,11.251,0.03225
"27",-258.340513550107,12.501,0.03225
"28",-253.061085191461,13.751,0.03225
"29",-257.791210772449,15.001,0.03225
"30",-264.919504708796,16.251,0.03225
"31",-275.912505075242,17.501,0.03225
"32",-290.511277732969,18.751,0.03225
"33",-506.56872045869,0.001,0.0635
"34",-506.56872045869,1.251,0.0635
"35",-506.56872045869,2.501,0.0635
"36",-506.56872045869,3.751,0.0635
"37",-312.919234932555,5.001,0.0635
"38",-260.524713140697,6.251,0.0635
"39",-255.726829836889,7.501,0.0635
"40",-274.892631413059,8.751,0.0635
"41",-294.909790071698,10.001,0.0635
"42",-323.791469113603,11.251,0.0635
"43",-354.154303923616,12.501,0.0635
"44",-379.948276384886,13.751,0.0635
"45",-402.942862690721,15.001,0.0635
"46",-425.164417816496,16.251,0.0635
"47",-438.830991609852,17.501,0.0635
"48",-448.974827058944,18.751,0.0635
"49",-506.56872045869,0.001,0.09475
"50",-506.56872045869,1.251,0.09475
"51",-506.56872045869,2.501,0.09475
"52",-284.972491051031,3.751,0.09475
"53",-255.673087384931,5.001,0.09475
"54",-287.545738975015,6.251,0.09475
"55",-323.75695694088,7.501,0.09475
"56",-367.360798613759,8.751,0.09475
"57",-400.521992462656,10.001,0.09475
"58",-428.758461797324,11.251,0.09475
"59",-447.108761807706,12.501,0.09475
"60",-462.432861284681,13.751,0.09475
"61",-469.324612754724,15.001,0.09475
"62",-477.569947649127,16.251,0.09475
"63",-480.548318756503,17.501,0.09475
"64",-483.073997170672,18.751,0.09475
"65",-506.56872045869,0.001,0.126
"66",-506.56872045869,1.251,0.126
"67",-330.047838396268,2.501,0.126
"68",-255.871886536174,3.751,0.126
"69",-295.566316312499,5.001,0.126
"70",-352.251926381976,6.251,0.126
"71",-398.459763409866,7.501,0.126
"72",-434.208589581591,8.751,0.126
"73",-455.289447928933,10.001,0.126
"74",-468.385509099067,11.251,0.126
"75",-480.890136871272,12.501,0.126
"76",-480.949771049494,13.751,0.126
"77",-483.919235108381,15.001,0.126
"78",-487.024578981908,16.251,0.126
"79",-491.735572362803,17.501,0.126
"80",-487.229730729307,18.751,0.126
"81",-506.56872045869,0.001,0.15725
"82",-506.56872045869,1.251,0.15725
"83",-265.874306601418,2.501,0.15725
"84",-286.480486847336,3.751,0.15725
"85",-350.339374734496,5.001,0.15725
"86",-407.123197155264,6.251,0.15725
"87",-449.753178206297,7.501,0.15725
"88",-469.118225141182,8.751,0.15725
"89",-481.016494813028,10.001,0.15725
"90",-480.503461336625,11.251,0.15725
"91",-483.932517226186,12.501,0.15725
"92",-488.792080439752,13.751,0.15725
"93",-486.351854182496,15.001,0.15725
"94",-486.527134383091,16.251,0.15725
"95",-486.981633271765,17.501,0.15725
"96",-487.670183460735,18.751,0.15725
"97",-506.56872045869,0.001,0.1885
"98",-434.63275862209,1.251,0.1885
"99",-256.692594591932,2.501,0.1885
"100",-321.852667776734,3.751,0.1885
"101",-395.052413565986,5.001,0.1885
"102",-444.816821524548,6.251,0.1885
"103",-466.304459631742,7.501,0.1885
"104",-476.93083994429,8.751,0.1885
"105",-481.509789135444,10.001,0.1885
"106",-485.597017258051,11.251,0.1885
"107",-485.401944371881,12.501,0.1885
"108",-485.797742932383,13.751,0.1885
"109",-486.476493718997,15.001,0.1885
"110",-487.715631576373,16.251,0.1885
"111",-489.268915958768,17.501,0.1885
"112",-491.700553683554,18.751,0.1885
"113",-506.56872045869,0.001,0.21975
"114",-387.604839744211,1.251,0.21975
"115",-276.099183242341,2.501,0.21975
"116",-361.853737409721,3.751,0.21975
"117",-432.610460140531,5.001,0.21975
"118",-463.405826703545,6.251,0.21975
"119",-475.801351535425,7.501,0.21975
"120",-480.689263089278,8.751,0.21975
"121",-486.95637153506,10.001,0.21975
"122",-484.778656284045,11.251,0.21975
"123",-485.305822297567,12.501,0.21975
"124",-486.662378408339,13.751,0.21975
"125",-488.488029093865,15.001,0.21975
"126",-491.046402878294,16.251,0.21975
"127",-493.816359606026,17.501,0.21975
"128",-496.601783742783,18.751,0.21975
"129",-506.56872045869,0.001,0.251
"130",-342.860303388222,1.251,0.251
"131",-295.13896927845,2.501,0.251
"132",-391.884857423012,3.751,0.251
"133",-449.47403999162,5.001,0.251
"134",-473.011786908747,6.251,0.251
"135",-478.797885555409,7.501,0.251
"136",-484.444143409018,8.751,0.251
"137",-483.978524836022,10.001,0.251
"138",-484.783412947048,11.251,0.251
"139",-486.535503317837,12.501,0.251
"140",-489.008250412961,13.751,0.251
"141",-492.024727745251,15.001,0.251
"142",-494.943195298294,16.251,0.251
"143",-497.917319442133,17.501,0.251
"144",-500.694919122941,18.751,0.251
"145",-506.56872045869,0.001,0.28225
"146",-294.889113949786,1.251,0.28225
"147",-320.477359366079,2.501,0.28225
"148",-417.297530522966,3.751,0.28225
"149",-462.870326505243,5.001,0.28225
"150",-475.511179896667,6.251,0.28225
"151",-481.296594155236,7.501,0.28225
"152",-482.987657011436,8.751,0.28225
"153",-483.872233602562,10.001,0.28225
"154",-485.934012571725,11.251,0.28225
"155",-488.771982626058,12.501,0.28225
"156",-492.026233735645,13.751,0.28225
"157",-495.411938394792,15.001,0.28225
"158",-498.243375408337,16.251,0.28225
"159",-501.032389558243,17.501,0.28225
"160",-503.277387760774,18.751,0.28225
"161",-506.56872045869,0.001,0.3135
"162",-271.652331532627,1.251,0.3135
"163",-345.359156496061,2.501,0.3135
"164",-435.64149612915,3.751,0.3135
"165",-474.529050189947,5.001,0.3135
"166",-477.425295696544,6.251,0.3135
"167",-482.015949650837,7.501,0.3135
"168",-482.855071804614,8.751,0.3135
"169",-484.807137347324,10.001,0.3135
"170",-487.879531152722,11.251,0.3135
"171",-491.324312261402,12.501,0.3135
"172",-494.789829224732,13.751,0.3135
"173",-497.890899626649,15.001,0.3135
"174",-500.454976968625,16.251,0.3135
"175",-502.627155984227,17.501,0.3135
"176",-504.298914388233,18.751,0.3135
"177",-506.56872045869,0.001,0.34475
"178",-261.529879800126,1.251,0.34475
"179",-371.578923602658,2.501,0.34475
"180",-449.419193069018,3.751,0.34475
"181",-472.146069071973,5.001,0.34475
"182",-479.135888389357,6.251,0.34475
"183",-481.348317380943,7.501,0.34475
"184",-483.163449057056,8.751,0.34475
"185",-486.158225262511,10.001,0.34475
"186",-489.932814564071,11.251,0.34475
"187",-493.539019724869,12.501,0.34475
"188",-496.606769064586,13.751,0.34475
"189",-499.361949154148,15.001,0.34475
"190",-501.509525488924,16.251,0.34475
"191",-503.159757882382,17.501,0.34475
"192",-504.455718865721,18.751,0.34475
"193",-506.56872045869,0.001,0.376
"194",-261.244158765671,1.251,0.376
"195",-384.654500675944,2.501,0.376
"196",-461.680532750475,3.751,0.376
"197",-473.418257027636,5.001,0.376
"198",-483.481750921167,6.251,0.376
"199",-481.235450807437,7.501,0.376
"200",-484.092278172029,8.751,0.376
"201",-487.747466014804,10.001,0.376
"202",-491.528335988486,11.251,0.376
"203",-495.013120570327,12.501,0.376
"204",-497.774653409319,13.751,0.376
"205",-499.954848829395,15.001,0.376
"206",-501.586109579642,16.251,0.376
"207",-502.90734158154,17.501,0.376
"208",-503.98876354899,18.751,0.376
"209",-506.56872045869,0.001,0.40725
"210",-271.918735347419,1.251,0.40725
"211",-399.17251670165,2.501,0.40725
"212",-463.910523477067,3.751,0.40725
"213",-474.433656663324,5.001,0.40725
"214",-479.478685338856,6.251,0.40725
"215",-481.548765561498,7.501,0.40725
"216",-485.111657745954,8.751,0.40725
"217",-489.150775498874,10.001,0.40725
