"","nll","beta","rho"
"1",-552.620422318571,0.001,0.001
"2",-552.620422318571,2.501,0.001
"3",-552.620422318571,5.001,0.001
"4",-552.620422318571,7.501,0.001
"5",-552.620422318571,10.001,0.001
"6",-552.620422318571,12.501,0.001
"7",-552.620422318571,15.001,0.001
"8",-552.620422318571,17.501,0.001
"9",-552.620422318571,20.001,0.001
"10",-552.620422318571,22.501,0.001
"11",-552.620422318571,25.001,0.001
"12",-552.620422318571,27.501,0.001
"13",-552.620422318571,30.001,0.001
"14",-552.620422318571,32.501,0.001
"15",-552.620422318571,35.001,0.001
"16",-552.620422318571,37.501,0.001
"17",-552.620422318571,0.001,0.0635
"18",-552.620422318571,2.501,0.0635
"19",-328.432498425449,5.001,0.0635
"20",-276.557424425016,7.501,0.0635
"21",-327.83296355516,10.001,0.0635
"22",-397.351711800855,12.501,0.0635
"23",-448.442290766484,15.001,0.0635
"24",-484.992624048877,17.501,0.0635
"25",-505.088916942733,20.001,0.0635
"26",-514.97530542207,22.501,0.0635
"27",-528.172229480357,25.001,0.0635
"28",-529.164351774575,27.501,0.0635
"29",-532.431245499424,30.001,0.0635
"30",-535.893390519334,32.501,0.0635
"31",-534.955995677687,35.001,0.0635
"32",-534.852621109541,37.501,0.0635
"33",-552.620422318571,0.001,0.126
"34",-338.412510126842,2.501,0.126
"35",-328.318789568895,5.001,0.126
"36",-444.766302226456,7.501,0.126
"37",-501.311307795236,10.001,0.126
"38",-523.598725484336,12.501,0.126
"39",-529.938030070483,15.001,0.126
"40",-533.219418251709,17.501,0.126
"41",-533.314282473752,20.001,0.126
"42",-534.158025143395,22.501,0.126
"43",-535.846907776493,25.001,0.126
"44",-538.249224651852,27.501,0.126
"45",-541.816399920824,30.001,0.126
"46",-545.411077430074,32.501,0.126
"47",-548.558294176976,35.001,0.126
"48",-552.132999051672,37.501,0.126
"49",-552.620422318571,0.001,0.1885
"50",-276.789760702843,2.501,0.1885
"51",-441.062878589152,5.001,0.1885
"52",-516.032060066542,7.501,0.1885
"53",-527.587889317479,10.001,0.1885
"54",-531.532562673135,12.501,0.1885
"55",-532.51661440653,15.001,0.1885
"56",-535.627101963807,17.501,0.1885
"57",-539.85835709838,20.001,0.1885
"58",-544.807991597108,22.501,0.1885
"59",-549.360660533029,25.001,0.1885
"60",-553.917990965041,27.501,0.1885
"61",-552.620422318571,30.001,0.1885
"62",-552.620422318571,32.501,0.1885
"63",-552.620422318571,35.001,0.1885
"64",-552.620422318571,37.501,0.1885
"65",-552.620422318571,0.001,0.251
"66",-327.54007542866,2.501,0.251
"67",-495.504096116043,5.001,0.251
"68",-524.78254333848,7.501,0.251
"69",-530.012475869738,10.001,0.251
"70",-532.624667998148,12.501,0.251
"71",-537.975829496691,15.001,0.251
"72",-544.012548094271,17.501,0.251
"73",-548.915965789029,20.001,0.251
"74",-553.38344225178,22.501,0.251
"75",-552.620422318571,25.001,0.251
"76",-552.620422318571,27.501,0.251
"77",-552.620422318571,30.001,0.251
"78",-552.620422318571,32.501,0.251
"79",-552.620422318571,35.001,0.251
"80",-552.620422318571,37.501,0.251
"81",-552.620422318571,0.001,0.3135
"82",-388.018554286993,2.501,0.3135
"83",-520.020571953627,5.001,0.3135
"84",-528.013884830488,7.501,0.3135
"85",-530.884623486656,10.001,0.3135
"86",-537.334961258087,12.501,0.3135
"87",-544.005525444277,15.001,0.3135
"88",-548.681360733124,17.501,0.3135
"89",-551.852820620281,20.001,0.3135
"90",-552.620422318571,22.501,0.3135
"91",-552.620422318571,25.001,0.3135
"92",-552.620422318571,27.501,0.3135
"93",-552.620422318571,30.001,0.3135
"94",-552.620422318571,32.501,0.3135
"95",-552.620422318571,35.001,0.3135
"96",-552.620422318571,37.501,0.3135
"97",-552.620422318571,0.001,0.376
"98",-430.945879381456,2.501,0.376
"99",-519.386839477861,5.001,0.376
"100",-527.321397408062,7.501,0.376
"101",-533.851898375674,10.001,0.376
"102",-541.016357406421,12.501,0.376
"103",-546.019399144157,15.001,0.376
"104",-549.011254667997,17.501,0.376
"105",-550.799079394629,20.001,0.376
"106",-552.179329219279,22.501,0.376
"107",-554.12929058143,25.001,0.376
"108",-557.145351514681,27.501,0.376
"109",-552.620422318571,30.001,0.376
"110",-552.620422318571,32.501,0.376
"111",-552.620422318571,35.001,0.376
"112",-552.620422318571,37.501,0.376
"113",-552.620422318571,0.001,0.4385
"114",-456.992655391436,2.501,0.4385
"115",-526.177424238516,5.001,0.4385
"116",-528.079078571132,7.501,0.4385
"117",-536.086353850694,10.001,0.4385
"118",-541.905655285737,12.501,0.4385
"119",-545.273075276331,15.001,0.4385
"120",-547.115542112189,17.501,0.4385
"121",-548.396190060338,20.001,0.4385
"122",-549.19876822494,22.501,0.4385
"123",-549.793679845998,25.001,0.4385
"124",-550.322314758213,27.501,0.4385
"125",-550.662999556624,30.001,0.4385
"126",-551.07602544173,32.501,0.4385
"127",-551.355360203841,35.001,0.4385
"128",-551.522227490369,37.501,0.4385
"129",-552.620422318571,0.001,0.501
"130",-472.784146948937,2.501,0.501
"131",-527.200221195065,5.001,0.501
"132",-529.072054030535,7.501,0.501
"133",-536.528404792271,10.001,0.501
"134",-540.750720636462,12.501,0.501
"135",-542.98512531954,15.001,0.501
"136",-544.417551787468,17.501,0.501
"137",-545.239645429767,20.001,0.501
"138",-545.916967462478,22.501,0.501
"139",-546.434803435854,25.001,0.501
"140",-546.820628270025,27.501,0.501
"141",-547.126697140988,30.001,0.501
"142",-547.454981549841,32.501,0.501
"143",-547.617439049105,35.001,0.501
"144",-547.861154040585,37.501,0.501
"145",-552.620422318571,0.001,0.5635
"146",-479.351644564727,2.501,0.5635
"147",-523.954074380612,5.001,0.5635
"148",-529.23598482027,7.501,0.5635
"149",-535.210104704362,10.001,0.5635
"150",-538.428747573068,12.501,0.5635
"151",-540.041797613958,15.001,0.5635
"152",-540.950018321469,17.501,0.5635
"153",-541.782144169882,20.001,0.5635
"154",-542.242699703461,22.501,0.5635
"155",-542.60934639985,25.001,0.5635
"156",-543.043334675146,27.501,0.5635
"157",-543.23224680827,30.001,0.5635
"158",-543.570718146208,32.501,0.5635
"159",-543.747771547656,35.001,0.5635
"160",-543.936164945062,37.501,0.5635
"161",-552.620422318571,0.001,0.626
"162",-480.544909527987,2.501,0.626
"163",-524.380740135183,5.001,0.626
"164",-528.460913030923,7.501,0.626
"165",-533.014210365638,10.001,0.626
"166",-535.204161660705,12.501,0.626
"167",-536.45180313018,15.001,0.626
"168",-537.234173994381,17.501,0.626
"169",-537.891738456201,20.001,0.626
"170",-538.328761987497,22.501,0.626
"171",-538.648180641084,25.001,0.626
"172",-538.983429977166,27.501,0.626
"173",-539.268273977387,30.001,0.626
"174",-539.402212043561,32.501,0.626
"175",-539.703297887626,35.001,0.626
"176",-539.823393497861,37.501,0.626
"177",-552.620422318571,0.001,0.6885
"178",-477.661213050739,2.501,0.6885
"179",-519.729864847929,5.001,0.6885
"180",-526.555155013148,7.501,0.6885
"181",-529.944291329906,10.001,0.6885
"182",-531.609969894212,12.501,0.6885
"183",-532.555443481291,15.001,0.6885
"184",-533.206321905673,17.501,0.6885
"185",-533.752500587893,20.001,0.6885
"186",-534.112839382366,22.501,0.6885
"187",-534.50480192768,25.001,0.6885
"188",-534.657933590566,27.501,0.6885
"189",-535.039593396464,30.001,0.6885
"190",-535.173601252631,32.501,0.6885
"191",-535.343475263204,35.001,0.6885
"192",-535.560843062181,37.501,0.6885
"193",-552.620422318571,0.001,0.751
"194",-473.884017848956,2.501,0.751
"195",-518.495334899641,5.001,0.751
"196",-523.871761547126,7.501,0.751
"197",-526.313324034055,10.001,0.751
"198",-527.548479147074,12.501,0.751
"199",-528.388840443852,15.001,0.751
"200",-529.044832484967,17.501,0.751
"201",-529.374677861491,20.001,0.751
"202",-529.819246727397,22.501,0.751
"203",-530.099081183344,25.001,0.751
"204",-530.346664030405,27.501,0.751
"205",-530.621746444451,30.001,0.751
"206",-530.714481144343,32.501,0.751
"207",-530.841276636798,35.001,0.751
"208",-531.053214931137,37.501,0.751
"209",-552.620422318571,0.001,0.8135
"210",-474.731047909012,2.501,0.8135
"211",-520.514645948229,5.001,0.8135
"212",-520.855905490122,7.501,0.8135
"213",-522.55282555832,10.001,0.8135
"214",-523.510810435406,12.501,0.8135
"215",-524.245088056546,15.001,0.8135
"216",-524.679002108645,17.501,0.8135
"217",-525.060916487378,20.001,0.8135
"218",-525.416781735079,22.501,0.8135
"219",-525.681938354574,25.001,0.8135
"220",-525.926742577376,27.501,0.8135
"221",-526.112011060575,30.001,0.8135
"222",-526.312489794093,32.501,0.8135
"223",-526.468329572123,35.001,0.8135
