"Population","Prevalence","Adult seroprevalence","Population persistence","LBV persistence"
141635.49,0,0.207315121172544,1,0
325714.63,0.000699500488435195,9.8106488775656,1,0.03
136200.93,0,0.0447072598060507,1,0
896568.43,0,4.08253603274462,1,0
106946.5,0.145642424141484,99.8916086031808,1,1
194884.2,0,0.00560435437387358,1,0
119556.72,0.0172419518429271,24.8654800996855,1,0.16
137418.48,0.000568691353704149,3.91854093938168,1,0.01
98048.4,0,0.386051174885444,1,0
235144.45,0,1.46739300578173,1,0
12651.68,0.140455503154584,99.7931381524831,1,1
243590.53,0,0.958742799961497,1,0
564155.88,0.0201510605671669,63.9013376752578,1,0.62
46424.98,0,0.221195385514505,1,0
27176.27,1.08831951953328,99.612792344591,1,1
7292.17,2.74322494910889,99.7841690126614,1,1
100571.77,0,0.300718782237594,1,0
31071.6,0.189141629580026,99.2753302022922,1,1
228645.81,0,0.416778713566338,1,0
303428.79,0.00672870930791605,20.7957444685451,1,0.34
239137.16,0.0319389229190953,55.7014614754396,1,0.75
56118.02,0.0562385916614186,99.8309801365239,1,1
60037.06,0.233411766496353,99.5821466037241,1,1
241501.42,0,0.008607192342566,1,0
73099.98,0,6.60987909701451,1,0
105607.49,0.0114409928198906,18.336255616027,1,0.13
66505.24,0,1.49414953311456,1,0
61007.76,0,0.253270875397877,1,0
63307.96,0,1.99880766924917,1,0
289525.5,0.000868055555555556,1.14901417731514,1,0.01
42307.38,0.0930579343026194,53.7924036851714,1,0.53
40908.59,0.0744451903588203,86.106761489902,1,0.84
39629.63,2.55545463262648,99.9713494583059,1,1
114558.49,0.363498525380497,98.3473994847844,1,1
56797.58,0.0827516018875509,99.336904839049,1,1
29306.51,0.375802141129152,98.0379565934622,1,1
538953.39,0,7.23582860688157,1,0
111730.26,0,0.212936895585418,1,0
29033.57,0.167253599101025,99.6829610423741,1,1
65752.36,0.0853146165176529,90.9639979690138,1,1
17083.45,0.145317789849333,99.8028756569888,1,1
196432.91,0,0.0567810066919153,1,0
194247.12,0,0.0586153279705322,1,0
87702.72,0,0.255988472655668,1,0
124972.68,0.0107076391701856,5.23088071966685,1,0.05
137703.74,0,0.134169455451591,1,0
415529.12,0.047902033039654,43.8642152164496,1,1
63788.62,0.0996087651234808,99.0560557635516,1,1
132277.09,0.0226325805177129,42.7649594078082,1,0.42
351527.52,0.000169410701736773,1.50039164553214,1,0.01
79399.44,0,0.146188883548393,1,0
31488.48,0.0691125514110902,48.4470322735566,1,0.46
39722.83,0.0390196124680135,43.3194340658196,1,0.32
106532.69,0.503184558331143,99.9378890597428,1,1
187436.48,0.417516487296241,99.9742551268074,1,1
127626.54,0,0.515459673025153,1,0
141630.46,0.0293087967428074,21.804227992706,1,0.22
95170.06,0,0.240202573151102,1,0
116089.73,0,0.0066356336512984,1,0
4226.56,0.300936087698857,99.5547093054419,1,1
67950.68,0.310082179414779,99.9619739124812,1,1
43162.04,0,13.0232653073917,1,0
21916.14,0.407573661483011,99.9553345713228,1,1
25951.08,0.770407451810879,99.4891810498474,1,1
162421.1,0,0.837579281790183,1,0
49330.99,0,0.654457864939633,1,0
79348.91,0.0359496773310304,54.9824893355225,1,0.42
74749.17,0.162017073297632,98.3580844205568,1,1
585154.56,0,0.38590791570998,1,0
66713.68,0,0.132061350581267,1,0
6729.67,0.106904939508677,93.9409087318474,1,1
85925.02,0,0.418386023535669,1,0
53335.55,0,0.430516458477319,1,0
21301.9,0.277106673966877,99.8646291975046,1,1
142443.96,0.00543361076372418,1.23126204911098,1,0.01
141740.02,0.0309641118282439,95.6603960542713,1,1
178026.41,0,0.105337009087843,1,0
167804.51,0,30.1300410364127,1,0
54907.21,0.186441764114908,99.6420416308026,1,1
45230.43,0,0.337605081884698,1,0
114078.21,0.323609340131809,96.0851911011146,1,1
80569.18,0,0.374866076850999,1,0
203251.19,0.19088864038066,99.9442019328547,1,1
31331.77,0,3.20216122307162,1,0
35262.75,0,2.47244540747648,1,0
101390.17,0,1.05880107852009,1,0
317868.3,0,0.0035611918135331,1,0
76649.32,0.00918992637159549,15.7439489324451,1,0.15
112265.72,0.00332356998804036,3.49448199502302,1,0.03
144297.33,0,1.33431447694503,1,0
163770.85,0,0.00281980884813459,1,0
39130.42,0,0.0615477292762068,1,0
67060.9,0,1.0136429585555,1,0
23883.2,0.662412107925876,99.957541885969,1,1
38223.47,0.0593993597877837,74.9600165839247,1,0.75
24506.33,0.489419849487434,99.9767713924501,1,1
57545.75,0.17521415631229,99.6844429755783,1,1
208221.23,0,0.156679533829479,1,0
317117.59,0,0.00226351702758171,1,0
370673.15,0,0.508985362097978,1,0
