"Population","Prevalence","Adult seroprevalence","Population persistence","LBV persistence"
99307.67,0.00563143136580726,9.65108050309037,1,0.115
22543.06,0,0.0766774737263778,1,0
238836.065,0,0.185944745397878,1,0
119741.09,0.13993039435068,95.6941526771991,1,0.96
177929.285,0.00921583265494645,7.32003289395936,1,0.055
164010.36,0,0.0287816184705855,1,0
76820.635,0,0.8762083153399,1,0
74869.405,0,0.237064541177276,1,0
156205.64,0,0.28093371655647,1,0
172213.51,0,0.16396866662613,1,0
148972.55,0,0.479494268195052,1,0
12063.195,0.0630825874588797,97.9307558104159,1,1
68275.105,0,0.0412706580764517,1,0
153771.655,0.101495214016132,99.8103714611822,1,1
19326.195,0.281444646120351,42.8336439686581,1,0.295
32215.265,0,0.549979333091057,1,0
598004.105,0,0.0310126629858598,1,0
45053.68,0.954680340256857,99.9180219051225,1,1
14062.65,0.236897378904004,99.9195324176061,1,1
154201.905,0.00135952472970361,2.54054318962895,1,0.035
47034.205,0.029238095991527,95.6159264834763,1,0.96
202998.465,0,0.699670426321579,1,0
151777.415,0.054806271094795,99.8363394721309,1,1
106358.375,0,0.0572226144664827,1,0
106405.695,0,0.00252074259023989,1,0
25219.315,0.136642701013967,98.8288780435712,1,1
82987.385,0,0.0564042183426373,1,0
99217.64,0.0430504377186144,16.6666427314182,1,0.165
271400.855,0,0.00122641497503456,1,0
85089.81,0.0376789104685784,96.1209675722158,1,1
379887.73,0,1.19101967541924,1,0
32549.915,0.271378582928641,99.3641382195481,1,1
298270.575,0,0.00228499728397977,1,0
72725.105,0.150930419065004,95.8126785990859,1,0.96
58086.21,0,1.16983786783991,1,0
36510.325,0,0.119220283496354,1,0
111737.565,0,0.0807859652010245,1,0
463851.355,0,0.357540524177857,1,0
116805.93,0,0.000235601928399742,1,0
68371.2,0,0.153922035616835,1,0
23720.31,0.0862245027871677,96.7829660394952,1,1
166452.875,0,0.00893348030298117,1,0
121091.735,0.0574010550091495,99.8269080691162,1,1
11859.565,0.338886097685306,99.2365269454546,1,0.985
395362.545,0.0405525179404644,97.5516262416273,1,1
148203.23,0,0.0235200238348911,1,0
1235028.68,0.00112030582231825,1.84929005416203,1,0.01
63215.205,0,0.0148798229391157,1,0
27575.555,0.183961095578718,99.8495677022221,1,1
215848.85,0.0892464795015454,40.3395626462903,1,0.405
139645.87,0,0.392168735036155,1,0
543818.005,0.0084438729986,8.83397413838648,1,0.075
583800.415,0,0.364147959945696,1,0
55383.23,0.0952384627085402,95.6672986895362,1,1
132083.1,0,0.0490707658609993,1,0
102455.99,0,1.53091766401475,1,0
99296.385,0.000129793510324484,0.608683379597796,1,0.005
218577.795,0.032082207711307,72.728346050807,1,0.73
52821.92,0,0.00301739637603227,1,0
264289.385,0.00199996913871119,7.616201361115,1,0.075
155738.31,0.00218703852982042,15.5859863231223,1,0.15
55164.31,0,0.587940879868044,1,0
105399.655,0.159768726651091,70.8708378734319,1,0.71
173357.195,0,4.84601020012902,1,0
17351.485,0.0245722069400543,17.3200011968615,1,0.16
81991.355,0,0.0310874654078205,1,0
37309.49,0.973565642970911,99.9775388537561,1,1
22525.515,0.80997665676212,99.9363014300885,1,1
24449.425,0.0620414961177733,99.036201450148,1,1
38465.06,0.0572485649898507,65.9011160043612,1,0.66
173529.01,0,0.0173601361679951,1,0
31400.365,0.522041094718352,97.7610705470247,1,1
42371.605,0.380668557701755,99.9128623667205,1,1
12780.93,0.160743268459551,99.4888373883238,1,1
19217.625,0.171376794831422,98.8412324085156,1,0.99
16685.78,0.104184376139195,99.6014998282283,1,0.995
59947.585,0.690032392883631,99.9558683951014,1,1
109799.025,0.0751622447502798,58.6868495353077,1,1
95362.305,0.208652098860656,99.8879645602758,1,1
272967.455,0,0.000300840599146434,1,0
182528.785,0,0.0015949112868983,1,0
78405.62,0.0971129263879471,99.8740161704048,1,1
4232.505,0.259192692659568,99.883676433976,1,1
188310.44,0.0392340751605363,35.5684958239683,1,0.355
150021.245,0,0.179744833508564,1,0
130421.59,0.00703940183805786,10.0180918448369,1,0.095
62228.015,0.0571553555036443,64.3232988352019,1,0.645
132110.11,0.00231239896301867,1.87425279579661,1,0.015
7111.23,0.235968792781058,99.2766833366355,1,1
66766.185,0,0.041503101256243,1,0
25319.735,0.0969713638051556,99.633352990242,1,1
204647.24,0,0.347552134956425,1,0
187696.67,0.0135787382891742,10.9712519809547,1,0.11
190115.335,0.0336407795288077,91.3639874710492,1,1
84994.38,0.0102361631580544,3.01578606343598,1,0.03
36968.145,0.110048965295663,91.9851665207239,1,1
17648.685,0.111129297821767,47.4454372753995,1,0.47
58947.86,0,0.0586799801355935,1,0
153044.55,0,0.00126599940529605,1,0
71451.155,0,2.99203246975971e-05,1,0
